,bay,channel,"2,4-D ","4,4'-DDD",Acetamiprid ,Alachlor,Atrazine,Azinphos ethyl,Bentazone,Chlorfenviphos,Chlorpyrifos,Chlortoluron,Diazinon,Dicofol,Diflufenican,Diuron,Fenthion oxon,Fenthion oxon sulfoxide,Fenthion sulfoxide,Imidacloprid,Cybutrine,Isoproturon,Linuron,Malaoxon,MCPA ,Methiocarb,Metolachlor,Molinate,Oxadiazon,Pendimethalin,Propanil ,Simazine,Terbuthylazine,Terbutryn,Thiacloprid,Triadimefon,Triallate
FCD1,Fangar,drainage,0,0,1143.21,0,0,5.641,31413.084,5.611,13.343,0,4.272,0,14.349,9.536,0,0,0,119.023,48.449,0,0,0.25,656.167,3.319,37.083,0,16.9,1,29.254,0,31.369,5.026,0,0,288
FCD2,Fangar,drainage,0,0,0,0,0,3.241,2993.512,3.528,4.966,0,2.479,0,0,7.418,0.767,0,1.836,0,33.16,12.591,0.95,0.571,0,1.973,37.997,30.748,0.35,1,20.806,2.079,23.408,3.221,0,0,182.457
FCD3,Fangar,drainage,10.1,0,3992.623,0,0,0,10122.611,0,0.75,0,2.687,3.65,2,8.882,0.811,0.2,0,53.082,41.283,0,0,0,0,0,35.868,0,14,1,846.852,0,28.785,3.252,0,2,232.313
FCD4,Fangar,drainage,47.961,0,0,0,0,0,154888.573,0,26.695,0,1.461,3.65,2,11.854,0,0,0,0,30.268,0,0,0,807.969,0,38.799,27.58,14.7,1,43.234,0,23.092,0,0.1,2,458.915
FCD5,Fangar,drainage,0,1.215,196.441,0,0.45,0,118628.248,1.368,26.997,0,0,3.65,0,11.195,0,0,0,47.361,46.697,0,0,0,2430.188,0.742,33.258,26.161,30.1,1,487.883,4.772,25.523,1.746,0,2,1011.238
FCD6,Fangar,drainage,0,0,1070.268,0,0,0,123761.588,0.897,17.343,0,1.207,0,0,11.02,0,0,0.7,75.425,48.689,0,0,0,0,1.868,36.553,25.325,0,0,330.936,0,39.077,0,0,0,536.807
FCD7,Fangar,drainage,47.922,0,238.676,0,0,0,10649.813,0,25.477,0,0.83,3.65,0,0,0,0,0,0,47.314,0,0,0,0,0,10.084,5.681,10.7,1,0,3.573,11.357,0.85,0.1,0,477.816
FCE1,Fangar,irrigation,0,0,0,0,0,0,2071.917,0,25.245,0,0.884,0,0,0,0,0,0,22.756,49.093,0,0,0,0,1.041,72.778,0,0.35,1,0,1.739,41.175,2.013,0,0,597.837
FCE2,Fangar,irrigation,0,0,0,0,2.458,0,624.496,0,17.947,13.933,1.049,3.65,2,0,0,0,0,0,41.314,0,0,0,0,0,61.572,0,0.35,1,0,0,38.098,2.499,0,0,410.68
ACD1,Alfacs,drainage,101.902,0,0.25,1.443,0,5.507,52568.527,6.31,9.391,0,4.812,3.65,12.787,6.312,0,0.2,0,703.217,13.781,0,4.552,0,5295.908,2.966,50.817,0,15.8,0,61214.431,0,0,6.565,1.273,0,69.608
ACD2,Alfacs,drainage,10.1,0,0,1.582,0,0,594.804,3.294,5.909,0,3.106,0,0,6.879,1.868,1.214,0,0,11.258,0,13.079,0,127.101,1.475,52.218,0,23.9,0,8694.401,3.108,33.003,3.594,2.659,2,41.259
ACD3,Alfacs,drainage,33.08,0,48.869,0,0,0.7,34667.145,3.108,7.699,0,3.809,0,9.725,6.801,0,0,4.461,91.52,14.492,0,0,0.25,1946.59,1.753,22.33,18.692,43,0,9005.253,3.618,22.11,3.641,0,4.89,74.15
ACD4,Alfacs,drainage,0,0,275.351,0,0,0,46951.079,3.076,19.338,0,3.369,0,11.466,6.621,1.479,0.2,0,611.85,16.834,0,0,0,2038.554,1.571,27.31,23.226,46.8,1,7691.69,0,0,4,0.1,2,180.096
ACD5,Alfacs,drainage,440.656,0,101.297,0,0.45,0,95613.042,3.182,21.072,0,3.033,3.65,0,11.485,2.519,0,0,115.253,19.599,0,0,0,1724.108,0,17.831,47.603,41.5,1,9753.575,6.664,0,3.698,0.1,0,297.859
ACD6,Alfacs,drainage,0,0,388.849,0,0,0,177428.569,1.688,12.36,0,1.764,0,2,5.169,0,0,0,0,16.69,0,0.95,0,8211.792,0,27.869,11.869,0,0,25994.546,0.55,0,2.756,0,0,169.791
ACD7,Alfacs,drainage,32.722,0,72.157,0,0,0.7,56259.873,1.452,17.892,0,2.001,3.65,18.665,0,0,0,0,90.533,18.203,0,0,0,1131.146,0,24.566,27.047,30.6,1,1077.532,0,0,2.211,1.337,2,247.252
ACE1,Alfacs,irrigation,11.285,0,0,0,0,0,146.65,0.947,13.15,7.453,1.174,0,0,0,0,0,0.7,0,14.781,0,0,0,0,0.7,70.256,0,0.35,0,911.771,0,39.664,2.097,2.105,2,114.828
ACE2,Alfacs,irrigation,0,0,41.623,0,0,1.059,35249.559,0.4,11.405,0,0,3.65,0,0,0,0.2,0,354.038,10.63,0,0,0,6304.164,0,24.83,39.746,39.1,0,35326.544,0,23.023,1.774,0,2,119.184
